cm_key,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar40,mvar41,mvar42,mvar43,mvar44,mvar45
70001,Charge      ,2,0,8,52,381,0.249,0.1155,118845,0,5.6677,Household          ,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264.62,345.7,385.77,205.26,20044.69,20909.96,9574.96,6276.21,24644.87,20885,12505.36,6711.74,1,0,0,1,0,0
70002,Charge      ,0,53460,2,56,872,0.5192,0.2682,475380,0,4.9459,Household          ,16,1,0,196.81,100.77,97.48,76.47,388.39,458.2,409.41,251.32,10.48,25.37,13.4,22.45,0,0,0,0,0,0,0,0,69056.05,107898.57,52730.04,59284.55,0,0,0,0,0,0
70003,Charge      ,0,109058,4,63,1253,0.7969,0.1155,172780,0,5.8674,Social services    ,12,1,1,0,103.28,0,0,165.61,0,0,285.34,209.99,1599.82,73.34,1736.47,43.42,21.47,199.68,164.69,164469.16,179378.03,121281.41,149478.54,112867.19,66706.78,49240.3,41005.21,1,1,0,0,0,0
70004,Charge      ,0,53460,4,44,381,0.0155,0,2918974,0,1.0798,Unknown            ,11,1,0,0,0,0,0,0,0,0,225.64,0,0,0,0,0,0,0,0,0,0,0,0,1264.1,758.55,486.23,2489.61,0,0,0,0,0,0
70005,Charge      ,1,183546,5,250,1842,0.7366,0,2918974,1,5.9691,Construction       ,11,1,1,2.65,1.76,191.5,0,1217.74,0,872.71,1109.79,516.15,209.18,464.61,260.72,0,0,0,0,0,0,0,0,123952.29,56751.39,68898.65,123960.8,0,0,0,0,0,0
70006,Charge      ,1,172141,2,40,490,0.6167,0.4142,357961,0,5.9521,Consumables        ,11,1,0,1384.75,362.38,80.36,15.34,0,0,0,0,243.69,1045.82,1111.64,177.87,0,0,0,0,0,0,0,0,100199.62,58436.48,41225.44,43529.62,0,0,0,0,0,0
70007,Charge      ,2,0,3,36,1951,1.5596,0.1155,95076,0,5.5514,Finance            ,14,1,0,2578.53,240.27,395.68,307.15,888.75,547.87,1401.7,5072.3,63.05,78.79,16.96,124.88,0,0,0,0,0,0,0,0,82781.59,75296.17,49147.79,66758.67,0,0,0,0,0,0
70008,Charge      ,1,0,3,88,1079,0.5858,0.4817,1109220,1,4.8132,Misc services      ,11,1,0,0,0,0,0,0,0,0,109.03,7827.43,4641.3,9186.95,3281.78,0,0,0,0,0,0,0,0,71990.77,34179.06,55743.04,24177.69,0,0,0,0,0,0
70009,Charge      ,0,74844,4,341,188,0.2871,0.3243,570456,0,6.6232,Entertainment      ,14,1,1,0,462.43,403.57,285.76,0,0,0,0,56.81,144.54,150.61,50.74,0,0,0,0,0,0,0,0,38159.11,20969.81,17992.25,34407.38,0,0,0,0,0,0
70010,Charge      ,0,0,4,1,490,1.0131,0,2918974,1,5.3356,Misc services      ,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114915.19,0,0,0,0,0,0,0,0,0
70011,Charge      ,11,187110,1,348,4092,1.7474,0.8459,34207020,1,5.8961,Durable goods      ,13,1,0,475,2242.86,1936.7,7172.15,43264.73,37478.51,33748.03,44611.42,2992.25,4125.74,1492.33,5625.66,379,143.91,246.17,290.57,100142.79,136587.22,144698.33,156740.23,193431.57,134518.91,140573.44,144720.43,1,0,0,1,0,0
70012,Charge      ,0,400950,1,169,2396,1.4887,0.5226,1905475,0,3.3433,Household          ,7,1,0,13649.08,12033.35,5619.68,1662.88,7802.03,4426.08,1624.21,3798.07,302.66,1497.67,817.16,983.17,0,0,0,0,0,0,0,0,128878.67,98319.12,80759.39,90460.57,0,0,0,0,0,0
70013,Charge      ,0,183546,4,9,2507,0.7969,0,2918974,1,2.2227,Unknown            ,15,1,0,37.24,4.45,2300.89,2.66,3336.36,132.19,127.23,159.43,39.64,121.4,13.26,147.78,0,0,0,0,0,0,0,0,71550.53,52230.52,14973.07,38616.38,0,0,0,0,0,0
70014,Charge      ,3,0,2,25,436,1.1516,0,2918974,0,5.271,Unknown            ,17,1,0,0,54.97,0,0,26.92,31.57,2238.97,81.2,524.44,60.42,529.7,55.16,786.92,673.12,916.71,611.29,35986.69,116228.58,45229.96,25536.4,82012.22,149971,49967.13,33102.45,1,0,0,1,0,0
70015,Charge      ,3,53460,8,24,4830,0.4606,0.4398,1186422,1,2.7597,Finance            ,17,1,0,599.14,133.59,142.49,1047.66,4019.07,0,0,0,578.97,941.92,612.02,908.87,0,0,0,0,0,0,0,0,64331.78,4555.66,41779.89,20590.21,0,0,0,0,0,0
70016,Charge      ,1,117077,2,12,466,0.5523,0.6148,4056019,0,4.4371,Entertainment      ,14,1,0,659.72,0,0,0,0,607.58,0,0,1303.07,245.21,188.77,1359.51,0,0,0,0,0,0,0,0,80547.19,26623.22,6272.68,19857.2,0,0,0,0,0,0
70017,Charge      ,1,0,3,228,654,0.063,0,2918974,0,3.3242,Entertainment      ,13,1,0,0,0,0,0,0,0,0,0,178.97,81.13,116.62,143.48,834.22,1187.73,359.91,508.1,12844.06,12315.54,11688.3,11094.83,18012.89,11612.75,10281.01,11427.95,2,1,0,0,0,0
70018,Charge      ,3,0,3,76,327,0.3437,0.3466,324843,0,5.1699,Personal services  ,12,1,0,1000.05,1482.81,0,0,0,0,0,0,1967.31,1696.67,3182.7,481.28,0,0,0,0,0,0,0,0,37040.85,25328.03,26694.26,44869.49,0,0,0,0,0,0
70019,Charge      ,0,0,7,227,190,0.005,0,792300,0,2.0212,Non durable goods  ,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.75,567.32,0,0,0,0,0,0,0,0
