cm_key,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar40,mvar41,mvar42,mvar43,mvar44,mvar45
50001,Charge      ,2,0,4,18,460,0.2495,0.231,180512,0,5.0612,Personal services  ,12,1,0,17.3,0,0,0,0,0,0,0,1601.96,135.67,839.46,898.17,105.59,100.52,42.73,0,23421.01,12417.97,9210.64,12930.41,32886.89,11345.47,7914.21,7704.62,0,0,0,0,0,0
50002,Charge      ,2,0,0,45,381,1.9329,0.7196,11295211,0,4.093,Misc services      ,13,1,0,759.27,516.22,528.21,203.73,5119.86,14617.69,2824.77,3387.05,31.58,201.73,209.88,23.43,1700.04,1623.65,1396.05,604.37,98405.49,180340.07,103123.3,163627.42,104722.52,255544.59,116216.4,152673,1,0,0,0,0,0
50003,Charge      ,0,0,4,3,0,0.7969,0,45161,0,2.3941,Misc services      ,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4971.41,743.3,0,0,13159.41,0,0,0,19689.03,0,0,0,0,0,0,0,0,0
50004,Charge      ,1,18711,9,89,432,0.1016,0.5074,420972,0,1.5442,Consumables        ,11,1,1,0,0,0,0,0,0,0,0,22.26,106.53,56.27,72.52,107.99,233.92,150.11,243.3,4479.01,6163.54,3521.39,5601.45,13154.43,7671.62,3357.24,2651.22,0,1,0,0,0,0
50005,Charge      ,0,21384,4,7,0,0.7969,0.231,880618,0,2.6261,Non durable goods  ,14,6,0,57.1,80.17,2386.43,0,77.33,27.02,527.19,0,209.59,1600.24,1421.85,387.98,0,0,0,0,0,0,0,0,32071.78,15376.01,14390.97,0,0,0,0,0,0,0
50006,Charge      ,1,21384,4,31,533,0.3863,0.1155,118845,0,4.8671,Finance            ,12,1,0,288.65,0,0,8.78,740.29,357.69,709.05,831.59,293.49,355.45,392.21,256.73,1420.23,2281.13,3036.2,1499.31,35754.34,18113.46,37445.83,11105.54,50614.77,15537.67,45293.04,12323.3,0,0,0,0,0,0
50007,Charge      ,0,0,6,15,776,0.0185,0.5152,373167,0,1.5412,Misc services      ,10,1,0,480.36,0,3.56,0,0,0,0,0,41.61,5.88,23.35,24.14,0,0,0,0,0,0,0,0,7090.02,2212.75,5019.98,2124.56,0,0,0,0,0,0
50008,Charge      ,0,160380,4,5,0,0.0398,0,2918974,0,1.1001,Unknown            ,10,3,1,0,0,0,0,0,0,0,0,503.84,145.76,411.78,237.82,366.06,317.43,0,0,4357.39,5025.2,8147.3,5311.95,2571.89,2261.09,0,0,2,0,0,0,0,0
50009,Charge      ,6,0,0,40,981,2.0957,0,0,1,6.2328,Office supplies    ,15,1,0,15258.99,13917.79,6698.56,7556.14,1077.46,0,0,365.67,3110.37,3706.61,4081.12,2735.86,1958.84,1924.24,1480.47,1542.52,180561.26,130671.92,136119.66,96005.34,230023.81,140317.3,124961.04,96830.68,0,0,1,0,0,0
50010,Charge      ,0,138996,1,7,327,0.2967,0,2918974,0,2.8097,Unknown            ,12,1,0,56.96,13.59,102.47,89.18,1226.39,2139.97,1042.64,213.84,71.43,25.5,3.14,93.79,0,0,0,0,0,0,0,0,18682.26,19369.21,17547.42,8078.07,0,0,0,0,0,0
